model_name sample size system_name config_name core0_status core1_status core2_status core3_status core_freq gpu_status gpu_freq emc_status emc_freq inference_time power_consumption
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config90 1 0 0 0 1881600 1 497250000 1 1600000000 0.20565191904703775 2454.3333333333335
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config91 1 0 0 0 1881600 1 497250000 1 1866000000 0.20397448539733887 2546.1111111111113
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config92 1 0 0 0 1881600 1 943500000 1 1062400000 0.14404609468248156 2733.5555555555557
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config93 1 0 0 0 1881600 1 943500000 1 1331200000 0.13726433118184408 2767.6666666666665
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config94 1 0 0 0 1881600 1 943500000 1 1600000000 0.13259765836927626 2868.4444444444443
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config95 1 0 0 0 1881600 1 943500000 1 1866000000 0.12508368492126465 2969.4444444444443
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config96 1 0 0 0 2035200 1 1300500000 1 1062400000 0.1328132152557373 4061.1111111111113
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config97 1 0 0 0 2035200 1 1300500000 1 1331200000 0.11578008863661024 3985.3333333333335
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config98 1 0 0 0 2035200 1 1300500000 1 1600000000 0.10909912321302626 3730.777777777778
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config99 1 0 0 0 2035200 1 1300500000 1 1866000000 0.09861689143710667 3907.222222222222
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config100 1 0 0 0 2035200 1 140250000 1 1062400000 0.6276664204067655 3581.6666666666665
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config101 1 0 0 0 2035200 1 140250000 1 1331200000 0.6155066755082872 3885.0
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config102 1 0 0 0 2035200 1 140250000 1 1600000000 0.61231795946757 3961.4444444444443
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config103 1 0 0 0 2035200 1 140250000 1 1866000000 0.6234142250484891 4313.111111111111
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config104 1 0 0 0 2035200 1 497250000 1 1062400000 0.22061800956726074 2504.8888888888887
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config105 1 0 0 0 2035200 1 497250000 1 1331200000 0.2085012329949273 2420.5555555555557
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config106 1 0 0 0 2035200 1 497250000 1 1600000000 0.20684544245402017 2547.4444444444443
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config107 1 0 0 0 2035200 1 497250000 1 1866000000 0.20234669579399955 2579.777777777778
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config108 1 0 0 0 2035200 1 943500000 1 1062400000 0.1478035185072157 2691.0
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config109 1 0 0 0 2035200 1 943500000 1 1331200000 0.12883875105116102 2606.8888888888887
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config110 1 0 0 0 2035200 1 943500000 1 1600000000 0.13008356094360352 2716.222222222222
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config111 1 0 0 0 2035200 1 943500000 1 1866000000 0.12199929025438097 2427.6666666666665
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config112 1 0 0 0 345600 1 1300500000 1 1062400000 0.493080563015408 1337.888888888889
